"species","ch"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000U00000000000000000000000000000000000000000000000000000000000000000000000000000U0000000000000000000"
"CRA","000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000U0000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000I000000000000000"
"CRA","00000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000R000000000000000000000000000000000000000000000000000000000000000U0000000000000000000000000000000"
"CRA","00000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000U000000U000000000U0000U0000UU000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000I0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000I0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000R0000000000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000I0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000U00000000000"
"CRA","000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000U00000000000000000000000000000000000000000000000000U000000000000000000000000U000000000000000000"
"SCA","0000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000000000U00U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0000000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000R0000000000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000U000000"
"SCA","00000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000U000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000R000000000000000000000000000000000000000000000000000000000000R0000000000000000000000000000000"
"FOR","00000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","00000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","000000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","000000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000R00000000000000000000000000000000000000000000000000000000000000000000R0000000000000000000000"
"SCA","000000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MAG","0000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
